name,text
aalto-university.md,Guidelines for processing of personal data in scientific research
aalto-university.md,"Annex 1 to the Employment Contract, Terms and Conditions on Assigning Rights generated in All Projects which Receive Funding from External Sources"
aalto-university.md,en_liite_20110831_2.pdf?version=1&modificationDate=1441263348088&api=v2 .
aalto-university.md,Creative Commons Attribution 4.0 International (CC BY 4.0)
aalto-university.md,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
aalto-university.md,MIT Licence
aalto-university.md,Background documents
aalto-university.md,Guidelines on Data Management in Horizon 2020
aalto-university.md,Guidelines on Open Access to Scientific Publications and Research Data in Horizon 2020
aalto-university.md,G8 Science Ministers Statement
aalto-university.md,Meeting_Statement_12_June_2013.pdf
aberystwyth-university.md,# Research Data Management Policy
aberystwyth-university.md,Version 3.0
aberystwyth-university.md,"<html><body><table><tr><td>Policy Title</td><td>ResearchDataManagementPolicy</td></tr><tr><td>Approval Date</td><td>18 February 2020</td></tr><tr><td>Approving Body</td><td>ResearchCommittee</td></tr><tr><td>Version</td><td>3.0</td></tr><tr><td>Supersedes</td><td>2.2</td></tr><tr><td>Previousreviewdate</td><td>June 2021</td></tr><tr><td>Nextreviewdate</td><td>Autumn 2022</td></tr><tr><td>Policy Owner</td><td>Pro Vice-Chancellor - Research, Knowledge Exchange, and Innovation</td></tr><tr><td>Lead contact</td><td>Open Access and Research Data Officer</td></tr></table></body></html>"
aberystwyth-university.md,"This policy defines the responsibilities at individual and institutional level which should guide the work of those involved in data collection, processing, storage, maintenance, and archival."
aberystwyth-university.md,1. Research data will be managed to the highest standards throughout the research data lifecycle as part of the University’s commitment to research excellence.
aberystwyth-university.md,2. Responsibility for research data management during any research project or programme lies primarily with Principal Investigators (PIs).
aberystwyth-university.md,"3. All new research proposals must include a Data Management Plan (DMP) that explicitly addresses data capture, management, storage, integrity, associated costs, confidentiality, retention, sharing, and publication."
aberystwyth-university.md,4. The legitimate interests of any human participants of research must be protected.
aberystwyth-university.md,5. Research data and records should be:
aberystwyth-university.md,"Accurate, documented, complete, authentic, and reliable"
aberystwyth-university.md,• Stored in a safe and secure manner
aberystwyth-university.md,"• Stored in a manner which is compliant with legal obligations and, where applicable, the requirements of funding bodies and project-specific protocols approved by the University’s Research Ethics Panel"
aberystwyth-university.md,"• Able to be made available to others in line with appropriate ethical, data sharing, and open access principles Data which is shared openly should follow FAIR principles; Findable, Accessible, Interoperable, and Reuseable"
aberystwyth-university.md,"6. Research data and any associated records should be retained for as long as they are of continuing value to the researcher and the wider research community, and as long as specified by the research funder, patent law, legislative, or other regulatory requirements. The minimum retention period for research data is three (3) years after publication or public release of the research. In many instances, researchers or the university will resolve to retain research data for a period surpassing the minimum requirement or indefinitely."
aberystwyth-university.md,"7. Published research papers should include a short statement describing how any supporting research data may be accessed, e.g. though citation and the use of a DOI link."
aberystwyth-university.md,"8. Subject to third party interests, research data which supports a scholarly work produced by a member of University staff, shall be owned by the University and retained for an appropriate period of time in accordance with point 6. This period may extend beyond the period of employment of the staff member with the University."
aberystwyth-university.md,"9. Subject to third party interests, research data which supports a scholarly work produced by a student of the University, will remain the intellectual property of the student and be retained for an appropriate period of time in accordance with point 6."
aberystwyth-university.md,"10. If research data or records are to be deleted or destroyed, this should be done so in accordance with University Information Compliance procedures. With all legal, ethical, funder, and collaborator requirements met, and with particular concern for confidentiality and security."
aberystwyth-university.md,"11. Research data will be offered for deposit and archival in the University repository, or an appropriate national, international, or discipline-specific repository. With a metadata record always created in the University repository."
aberystwyth-university.md,"12. The University will provide training, support, advice, and where appropriate, guidelines and templates for research data management and data management plans."
aberystwyth-university.md,"13. Exclusive (and non-exclusive) rights to publish research data should not be handed over for commercial purposes free of charge. The University must retain the right to publish, subject to confidentiality provisions and/or contractual obligations dictated by funding conditions, or as directed by the University’s Intellectual Property Policy. Any such commercial license must be negotiated between the requesting party and the University."
aberystwyth-university.md,"14. The University will advise on, and provide mechanisms and services for, storage, backup, registration, deposit, and archival of research data , during and after the completion of research projects."
aston-university.md,# Research Data Management Policy
aston-university.md,July 2023
aston-university.md,## Aston University Research Data Management Policy
aston-university.md,### 1. INTRODUCTION AND PURPOSE
aston-university.md,"The maintenance of accurate and retrievable data arising from research projects is an essential component of good practice in the conduct of research and a key component of research integrity and research reproducibility. Consideration around research data management and evidence of good research data management should be seen as an integral part of the research process, which is what Aston University expects of all researchers. This is in line with Aston’s values and commitment to deliver research that changes lives for the better through collaborations between students, academic staff and industry leaders."
aston-university.md,"In addition, good research data management can benefit the transparency, productivity and overall reliability of the research generated, supporting the research process and visibility of any research outputs. Evidence of good research data management is also a requirement of most funding bodies and publishers of journal articles. Aston University is committed to supporting its researchers to meet the highest standards of research data management and acknowledges that research data management involves numerous stakeholders across the research data lifecycle, from creation through to dissemination and preservation. Therefore, this policy is divided into distinct sections aimed at key stakeholders within the University."
aston-university.md,The University endorses the UKRI Common Principles on Data Policy.
aston-university.md,#### 1.1. Purpose of the Policy
aston-university.md,This policy covers Aston’s approach to research data management.
aston-university.md,The purpose of this policy is to:
aston-university.md,"Ensure that researchers manage their research data effectively, enabling them to:"
aston-university.md,"Demonstrate the highest standards of integrity of their research, Preserve eligible research data for sharing and reuse (as appropriate), Comply with ethical, legal, funder and other requirements in relation to research data and research data management."
aston-university.md,"Ensure that University Colleges understand their responsibilities in relation to governance of research data management in their departments, Ensure that the University responsibilities for research data management are clearly articulated."
aston-university.md,### 2. SCOPE OF POLICY
aston-university.md,"This policy covers the processes, arrangements, and limitations for storing research data during the active research process."
aston-university.md,"For the purposes of this policy, research data are as defined by the UKRI Concordat on Open Research Data1 as ‘the evidence that underpins the answer to a research question’. The research data can be quantitative or qualitative and may either be primary (generated first hand) or processed secondary data (building upon primary data) where the rights for the original data may be held elsewhere. Contemporary research data tends to exist digitally and takes many different forms including documents, spreadsheets, code, models, transcripts, images etc. However historic, and visual data can still exist in physical records including books, sketches, photographs, audiotapes, and specimens."
aston-university.md,For a more comprehensive table of research data examples please see Appendix 1.
aston-university.md,"If you are engaged in a Knowledge Exchange activity whereby you are generating research data, you are expected to abide by the standards set out within this policy."
aston-university.md,Research data preservation for the purpose of sharing is covered by the Data Preservation and Open Research Data Policy.
aston-university.md,#### 2.1 Who is Covered by the Policy
aston-university.md,"This policy applies to all researchers (defined as any staff members conducting research and doctoral research students) at Aston University with contractual responsibility for research data generation, collection, and/or analysis, or who produce or use research data. The policy stands to detail the management of that data arising from their research, and the roles of the various individuals or services that will support the management of research data during its lifecycle."
aston-university.md,"The policy does not apply to postgraduate taught and undergraduate students in the first instance, except where their research findings are included in published research outputs. They may be guided in the first instance by the principles contained within this policy."
aston-university.md,#### 2.2 Ownership of this Policy
aston-university.md,Research Committee owns this policy and oversees research data management policy implementation via College Research Committees.
aston-university.md,The Chair of the Research Committee is responsible for ensuring that this policy is reviewed every two years (unless there is significant change in current regulations which impact this policy) and is fit for purpose.
aston-university.md,### 3. POLICY STATEMENT
aston-university.md,#### 3.1. General research data management
aston-university.md,The University expects that the following general research data management principles will be followed:
aston-university.md,"Research data should be actively managed to ensure that it is available for access, validation, and re-use (where appropriate). The rights and interests of research participants must always be protected. Researchers must comply with all relevant regulations, funder requirements, contractual obligations, and ethical requirements, as appropriate, at all times during their research."
aston-university.md,#### 3.2 Research data
aston-university.md,Research data must be:
aston-university.md,"Accurate, auditable, authentic, and reliable."
aston-university.md,"Identifiable, retrievable, and available when needed."
aston-university.md,"Secure and safe with appropriate measures taken in handling sensitive, classified, and confidential data."
aston-university.md,"Kept in a manner that is compliant with legal obligations, University policy and, where applicable, the requirements of funding bodies; and"
aston-university.md,Considered for long term preservation.
aston-university.md,"Clear arrangements for research data management must be in place prior to research data generation. The University recommends that all research projects have an associated Research Data Management plan (RDMP), with named researchers and their responsibilities detailed within. This may be a mandatory requirement as part of a grant application, and your Strategic Funding Manager will advise if so. It is the responsibility of the researcher to consider how legal and ethical restrictions will impact on their ability to share data at the end of the project and it is recommended that these considerations are addressed in a RDMP."
aston-university.md,"Research data must be stored and disposed of securely according to the relevant retention and disposal schedule, in accordance with legal, ethical, research funder and collaborator requirements and with particular concern for the confidentiality and security of the data. Records relating to research (e.g. master copies of approved consent forms, information sheets, records relating to ethical approval) should be retained for six years after the date of project closure, in line with the University Records Management Procedures. Research data that underpins published results or is considered to have long-term value should be retained."
aston-university.md,"Research data should be stored on Box unless there are specific reasons why this is not practical, nor in line with a collaboration agreement (for example). In this case advice should be sought from Digital Services in the first instance, and the Research Integrity Office where appropriate."
aston-university.md,The deliberate or reckless mismanagement of research data and/or primary materials constitutes unacceptable research conduct and should be reported in line with the University Research Misconduct Policy or the Whistleblowing policy.
aston-university.md,#### 3.3 Collaborative research
aston-university.md,"When participating in collaborative projects, an Aston University lead must be identified to take responsibility for management of research data produced under the auspices of Aston"
aston-university.md,University. This person is also responsible for ensuring that data are managed appropriately and in line with any relevant contracts and/or ethics approvals in place.
aston-university.md,#### 3.4 What to do when you leave Aston
aston-university.md,"The University expects that researchers will make the necessary arrangements to deposit/archive research data associated with projects which are closed, or transfer/make available data and records which are associated with active research projects. It is expected that transfer will occur via Box, with shared ownership of relevant Box folders with other appropriate researchers within the University, noting that this should be done in line with any relevant contracts and/or ethics approvals in place. For any arrangements where Box cannot be used, Digital Services should be consulted to discuss and approve an alternative mechanism."
aston-university.md,### 4. ROLES AND RESPONSIBILITIES
aston-university.md,#### 4.1. University
aston-university.md,The University is responsible for:
aston-university.md,"4.1.1 Providing access to services and facilities for the storage, backup, deposit and retention of research data and records that allow researchers to meet their requirements under this policy and those of the funders."
aston-university.md,4.1.2 ensuring that staff and research students understand the requirements for research data management and engage with training and development as necessary.
aston-university.md,"4.1.3 Providing the necessary resources to those central services responsible for the provision of these services, facilities, and training."
aston-university.md,"4.1.4 raising awareness of best practice in research data management in which legal, ethical, and professional requirements and standards are considered whenever research data are created, handled, used, shared or stored."
aston-university.md,#### 4.2. Heads of School/Department or Associate Deans for Research
aston-university.md,Heads of School/Department or Associate Deans for Research are responsible for:
aston-university.md,4.2.1 Ensuring that researchers in their area are aware of this policy and their responsibilities in relation to it.
aston-university.md,4.2.2 Assist researchers in their area to meet the requirements of this policy.
aston-university.md,"4.2.3 Ensuring that when a member of staff leaves the institution before the completion of a project (and final deposit of research data), that a copy of data produced under the auspices of the University is retained."
aston-university.md,4.2.4 Oversight of the curation and disposal of research data retained once a member of staff has left or retired from the University.
aston-university.md,#### 4.3. Researchers
aston-university.md,Researchers are responsible for:
aston-university.md,"4.3.1 Considering, at the outset of a research project, creation of a RDMP  which documents clear procedures for the collection, storage, use, re-use, access and retention or destruction of the research data."
aston-university.md,4.3.2 Familiarising themselves with this policy and associated policies/guidance.
aston-university.md,"4.3.3 Ensuring that on completion of research, all relevant research data are preserved, maintained, or disposed of appropriately, securely, and can be audited."
aston-university.md,4.3.4 Ensuring that requests for destruction/withdrawal of research data by research participants are acted upon in a timely manner.
aston-university.md,"4.3.5 Ensuring that they meet all requirements in relation to research data placed on their research by funding bodies, regulatory agencies, and research ethics committees, third party data providers and collaborating institutions or under terms of a research contract with the University."
aston-university.md,4.3.6 Ensuring that active research data are accessible by another authorised person during the research to guarantee access to the data by the University in case of need.
aston-university.md,"In addition, lead researchers or Principal Investigators (including supervisors of doctoral research students, are responsible for:"
aston-university.md,"4.3.7 Ensuring that throughout the project, storing, sharing and manipulation of data are in accordance with legal and ethical requirements and recommended practices to ensure data are kept secure, backed-up and organised effectively (the University recommends that Box is used unless in specific circumstances and with permission from Digital Services)."
aston-university.md,4.3.8 Ensuring that any requirements in relation to research data and records management placed on their research by funding bodies or regulatory agencies or under the terms of a research contract with the University are also met.
aston-university.md,Where research is undertaken by a student it is the responsibility of the staff member supervising their project to ensure that the student has a clear understanding of appropriate research data management practice in line with this policy.
aston-university.md,### 5. EXCEPTIONS TO THIS POLICY
aston-university.md,"Research data subject to contractual, regulatory and/or funder policies will need to be managed in line with the stipulated requirements. In this case these requirements supersede the details pertained inside this policy."
aston-university.md,### 6. SOURCES OF GUIDANCE
aston-university.md,"Advice on how to implement the requirements set out in this policy are available via the Library webpages, Research Integrity webpages or by emailing researchdata@aston.ac.uk or research_governance@aston.ac.uk."
aston-university.md,"### 7. RELATED REGULATIONS, STATUTES AND POLICIES"
aston-university.md,This policy should be read alongside the following:
aston-university.md,Open Research Data Policy
aston-university.md,Concordat on Open Research Data
aston-university.md,Intellectual Property (IP) Policy
aston-university.md,Research Integrity Policy
aston-university.md,Research Ethical Principles and Procedures
aston-university.md,Research Misconduct Policy
aston-university.md,IT Security Framework
aston-university.md,Data Protection Policies and Procedures
aston-university.md,Records Management Policies and Procedures
aston-university.md,General Regulations for Degrees by Research and Thesis
aston-university.md,## Appendix
aston-university.md,1 – Table of different types of research data
aston-university.md,"<html><body><table><tr><td>Data</td><td>Description & Example</td></tr><tr><td>Observations*</td><td>Measuring and recording qualitative or quantitative data throug! experimentation, e.g., real-time measurements of Carbon Dioxide</td></tr><tr><td>Questionnaires*</td><td>Participant responses to questions posed, e.g., participant</td></tr><tr><td>Audio*</td><td>responsestomedicalsurvey Audible recording of sounds, e.g., recording bird call in the forest</td></tr><tr><td>Photographs*</td><td>Image captured on light sensitive material or digitally, e.g..</td></tr><tr><td>Specimens/Samples</td><td>telescopic photograph of constellations</td></tr><tr><td>*</td><td>A piece of material of research interest to be studied, e.g. a specimen of bauxite</td></tr><tr><td>Films* Sketchbooks*</td><td>A recording of motion pictures, e.g., a film of a volcanic eruption</td></tr><tr><td>Transcripts*</td><td>Drawing by hand, e.g., sketch of rock formations on a cliff face</td></tr><tr><td>Spreadsheets</td><td>A verbatim recording of words recorded, e.g., a transcript of a police interview An electronic document in which data are stored and can be</td></tr><tr><td>Code</td><td>manipulated in equations, e.g. a spreadsheet showing student attendance A text and numerical computer language with instructions and</td></tr><tr><td></td><td>rules which can allow software, calculations etc. to operate, e.g. an R script of wind velocity data which when run produces diurnal plots</td></tr><tr><td>Models</td><td>A predictive computer simulation usually using known data and : better understand real world events (past or future), e.g. forecasted future weather events</td></tr><tr><td>Algorithms</td><td>A sequence of mathematical/computational steps to perform a function, e.g. the operation of a search engine to deduce most relevant responses</td></tr></table></body></html>"
aston-university.md,FOR OFFICIAL USE ONLY
aston-university.md,<html><body><table><tr><td>Version</td><td></td><td>Author</td><td>ResearchIntegrityOfficeandLibrary Services</td></tr><tr><td>Approveddate</td><td>19/07/2023</td><td></td><td>ApprovedbyUniversityResearchCommittee</td></tr><tr><td>Reviewdate</td><td>19/07/2025</td><td></td><td></td></tr></table></body></html>
bangor-university.md,# Data Protection Policy
bangor-university.md,"<html><body><table><tr><td>Rev</td><td>Date</td><td>Purpose of Issue/Description of Change</td><td>Equality Impact AssessmentCompleted</td></tr><tr><td>1.</td><td>November2005</td><td>Initial Issue</td><td></td></tr><tr><td>2.</td><td>5th October 2009</td><td>Revised and updated</td><td></td></tr><tr><td>3.</td><td>15th June 2012</td><td>Revised and approved by the Legal ComplianceTask Group</td><td></td></tr><tr><td>4.</td><td>5th October 2015</td><td>Reviewed and approved by the Compliance Task Group</td><td>1st December,2015</td></tr><tr><td>5.</td><td>3rdOctober2016</td><td>Reviewed and approved by the Compliance Task Group</td><td></td></tr><tr><td>6.</td><td>16th July 2018</td><td>Reviewed and approved by the Compliance Task Group</td><td></td></tr><tr><td>7.</td><td>1st June 2020</td><td>Revised and reapproved by the Compliance Task Group</td><td></td></tr></table></body></html>"
bangor-university.md,<html><body><table><tr><td>Policy Officer</td><td>Senior Responsible Officer</td><td>Approved By</td><td>Date</td></tr><tr><td>HeadofGovernanceand Compliance</td><td>UniversitySecretary</td><td>Compliance Task Group</td><td>1st June 2020</td></tr></table></body></html>
bangor-university.md,# DATA PROTECTION POLICY
bangor-university.md,Bangor University takes its responsibilities with regard to the management of the requirements of the General Data Protection Regulation (GDPR) and the Data Protection Act 2018 (the Act) very seriously. This document provides the policy framework through which this effective management can be achieved and audited.
bangor-university.md,## 1. Purpose & Scope
bangor-university.md,The purpose of this policy is to ensure that the University and the University’s staff and students comply with the provisions of the GDPR and the Act and with any other relevant legislation in jurisdictions in which the University operates when processing personal data. Any infringement of the Act will be treated seriously by the University and may be considered under disciplinary procedures.
bangor-university.md,"This policy applies to staff, students, agents of the University and any authorised processors of personal data held or owned by the University, regardless of where the data is held and, in respect of automatically processed data, the ownership of the equipment used, if the processing is for University purposes.  This policy also applies to personal data retained and processed by Bangor University Students’ Union."
bangor-university.md,## 2. Data Protection Definitions
bangor-university.md,### 2.1 Personal data
bangor-university.md,"Personal data is information that either on its own, or when combined with other information, can identify a living individual. This can include (but is not limited to):"
bangor-university.md,"Names, addresses, student and staff ID numbers, dates of birth, photographs, social media handles, video footage and emails."
bangor-university.md,"The main types of personal data that the University uses are: Staff Data, Student Data (prospective, current and alumni) and Research Data."
bangor-university.md,### 2.2 Special Category Data
bangor-university.md,Special category data is personal data that needs more protection because it is sensitive. The GDPR defines special category data as:
bangor-university.md,personal data revealing racial or ethnic origin;
bangor-university.md,personal data revealing political opinions;
bangor-university.md,personal data revealing religious or philosophical beliefs;
bangor-university.md,personal data revealing trade union membership;
bangor-university.md,genetic data;
bangor-university.md,biometric data (where used for identification purposes);
bangor-university.md,data concerning health;
bangor-university.md,data concerning a person’s sex life; and data concerning a person’s sexual orientation.
bangor-university.md,### 2.3 Processing
bangor-university.md,"Data protection legislation refers to the processing of personal data. Processing simply means any use of personal data. This can range from collecting it to sharing it, from amending it to deleting it. The University needs to process information about its employees, its students and other individuals: for example, to allow it to"
bangor-university.md,"monitor performance, achievements and health and safety, and so that staff can be recruited and paid, courses organised and legal obligations (e.g. to funding bodies and the government) fulfilled. Such information must be collected and used fairly, stored safely and not disclosed unlawfully."
bangor-university.md,## 3. The Principles of Data Protection
bangor-university.md,The University is required to adhere to the principles of data protection as laid down by the Act. In accordance with those principles personal data shall be:
bangor-university.md,"1.  Processed fairly, lawfully and in a transparent manner The University must be open and clear about what the personal data will be used for and how it will be used."
bangor-university.md,"2.  Processed for specified, explicit and legitimate purposes The University must ensure that it collects personal data for clear, appropriate and legitimate purposes. Collecting personal data “just in case” for future reference is not compliant with legislation."
bangor-university.md,"3.  Adequate, relevant and limited to what is necessary for the purposes for which they are processed The University must only collect, use or share personal data in a proportionate way. This means that it should collect what it needs to complete its purposes."
bangor-university.md,4.  Accurate and up to date Personal data must be accurate and up to date. Collecting inaccurate data is a breach of GDPR.
bangor-university.md,5.  Kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed
bangor-university.md,Personal data must only be kept for a specific period of time. This time period will vary depending on what purpose the personal data is collected for - the University’s Record & Data Retention Schedule details how long personal data should be kept for each function.
bangor-university.md,6.  Processed in a manner that ensures appropriate security of the personal data
bangor-university.md,The University is required to have appropriate technical and organisational measures in place to ensure the security of personal data. This is applicable to both data held electronically and personal data within physical documents.
bangor-university.md,## 4. The Rights of the Individual
bangor-university.md,"In addition to the data processing principles, the GDPR also sets out a range of rights individuals can use to understand how their personal data is used or exert an amount of control over how it is used. The rights include:"
bangor-university.md,The right to be informed An individual has the right to be informed about the collection and use of their personal data.
bangor-university.md,The right to access (often called Subject Access Requests)
bangor-university.md,An individual has a right to see a copy of the personal data held about them by the University and find out what it is used for. See 6.1 below for further details.
bangor-university.md,The right of rectification An individual can request that inaccurate information held about them is either rectified or deleted.
bangor-university.md,The right to erasure (also known as the right to be forgotten) An individual may ask for their personal data to be deleted by the University.
bangor-university.md,### The right to restrict processing
bangor-university.md,"An individual has the right to request the restriction of suppression of their personal data (i.e. whilst a complaint is being dealt with the University can store the personal data, but not use it)."
bangor-university.md,### The right to data portability
bangor-university.md,Allows individuals to obtain and reuse their personal data for their own purposes across different organisations.
bangor-university.md,### The right to object
bangor-university.md,"An individual has the right to object to the processing of their personal data, for instance to stop their data being used for direct marketing."
bangor-university.md,Rights related to automated decision-making including profiling
bangor-university.md,An individual has the right to stop automated decisions being made about them and ask for human intervention instead.
bangor-university.md,## 5. Responsibilities
bangor-university.md,### [a] University Responsibilities
bangor-university.md,The University is a data controller under the Act and under equivalent legislation in other jurisdictions.  The University is responsible for establishing policies and procedures and providing access to training in order to comply with the requirements of the Act.
bangor-university.md,#### [i] The Compliance Task Group
bangor-university.md,"The Compliance Task Group is responsible for the development, implementation, monitoring and review of the University’s Data Protection Policy and associated Procedures. The Compliance Task Group is chaired by the University Secretary and reports to the University Executive who are ultimately responsible for overseeing compliance in this area."
bangor-university.md,#### [ii] University’s Data Protection Officer
bangor-university.md,"The Compliance Task Group will nominate an appropriate person as the University's Data Protection Officer, who will be a person of sufficient knowledge and seniority in the University."
bangor-university.md,The nominated University Data Protection Officer is the Head of Governance and Compliance in the Governance and Compliance Office.
bangor-university.md,"Bangor University has notified the Information Commissioner’s Office that it processes personal data, and queries relating to the University’s notification should be directed to the Data Protection Officer. The University will make arrangements for the identity of the University's Data Protection Officer to be made known to all staff, students, consultants, contractors and volunteers and will also draw to their attention this Policy and associated documentation."
bangor-university.md,"The Data Protection Officer is tasked with drawing up guidance, giving advice and promoting compliance with this policy in such a way as to ensure the easy, appropriate and timely retrieval of information. The Data Protection Officer (or nominee) has access to all relevant documents relating to a legal compliance request and it is the Data Protection Officer (in consultation with the relevant senior officers) that will make the decisions regarding what information is released or exempted."
bangor-university.md,"### [b] Responsibilities of Pro Vice-Chancellors / Heads of College, Heads of School and Directors of Professional Services"
bangor-university.md,"Pro Vice-Chancellors / Heads of College, Heads of School and Directors of Professional Services are responsible for ensuring compliance with legislation in relation to personal data and for ensuring that the requirements of this Policy are met."
bangor-university.md,"Pro Vice-Chancellors / Heads of College, Heads of School and Directors of Professional Services may choose to delegate the management of, but not the responsibility for, Data Protection matters to a school or departmental Data Protection Co-ordinator. This person will administer and co-ordinate the processes set up within the College, School or Department to manage compliance with data protection legislation and the University’s guidance in this area, and will be a knowledgeable and accessible point of contact for people within the College, School or Department who have questions about data protection issues. Where a Dean, Head or Director chooses to delegate the management of data protection within their College, School or Department the University will provide data protection training which the Data Protection Co-ordinator will be required to undertake."
bangor-university.md,Responsibility for compliance with the Act’s requirements with regard to personal data on Bangor University alumni has been delegated to the Executive Director of Development & Alumni Services (DAS). Heads of Schools holding and using information on alumni must keep DAS informed about all activities involving former students.
bangor-university.md,As part of its internal and external audit programme the University will perform periodic audits to ensure compliance with this Policy and the Act and to ensure that the notification is kept up to date.
bangor-university.md,"Pro Vice-Chancellors / Heads of College, Heads of School and Directors of Central Service Departments must ensure that all new members of staff receive an introductory briefing on the Act and that relevant staff members within their areas of responsibility (those dealing with personal and / or sensitive personal data), including any relevant consultants / contractors, receive refresher courses on data protection compliance (available by contacting the Staff Development Unit, Human Resources)."
bangor-university.md,### [c] Staff Responsibilities
bangor-university.md,"[i] When staff members use personal information about students, other members of staff or other individuals they must comply with the requirements of this Policy."
bangor-university.md,[ii] It is a condition of employment that staff will abide by the rules and policies of the University. Any failure to follow this Policy may result in disciplinary proceedings.
